"As Of Date","Time Series","Value (millions)"
"2018-07-25","PDGSWOEXT","302158"
"2018-08-01","PDGSIDBEXT","170589"
"2018-08-01","PDGSWOEXT","348751"
"2018-08-08","PDGSIDBEXT","137226"
"2018-08-08","PDGSWOEXT","271139"
"2018-08-15","PDGSIDBEXT","171742"
"2018-08-15","PDGSWOEXT","332436"
"2018-08-22","PDGSIDBEXT","131364"
"2018-08-22","PDGSWOEXT","265060"
"2018-08-29","PDGSIDBEXT","158499"
"2018-08-29","PDGSWOEXT","327667"
"2018-09-05","PDGSIDBEXT","184745"
"2018-09-05","PDGSWOEXT","370011"
"2018-09-12","PDGSIDBEXT","164199"
"2018-09-12","PDGSWOEXT","335792"
"2018-09-19","PDGSIDBEXT","158264"
"2018-09-19","PDGSWOEXT","328078"
"2018-09-26","PDGSIDBEXT","176168"
"2018-09-26","PDGSWOEXT","352122"
"2018-10-03","PDGSIDBEXT","191352"
"2018-10-03","PDGSWOEXT","367882"
"2018-10-10","PDGSIDBEXT","215015"
"2018-10-10","PDGSWOEXT","379655"
"2018-10-17","PDGSIDBEXT","164009"
"2018-10-17","PDGSWOEXT","321674"
"2018-10-24","PDGSIDBEXT","190675"
"2018-10-24","PDGSWOEXT","343585"
"2018-10-31","PDGSIDBEXT","210164"
"2018-10-31","PDGSWOEXT","389254"
"2018-11-07","PDGSIDBEXT","186762"
"2018-11-07","PDGSWOEXT","355145"
"2018-11-14","PDGSIDBEXT","179682"
"2018-11-14","PDGSWOEXT","346524"
"2018-11-21","PDGSIDBEXT","190186"
"2018-11-21","PDGSWOEXT","320389"
"2018-11-28","PDGSIDBEXT","194863"
"2018-11-28","PDGSWOEXT","372142"
"2018-12-05","PDGSIDBEXT","259096"
"2018-12-05","PDGSWOEXT","473636"
"2018-12-12","PDGSIDBEXT","271007"
"2018-12-12","PDGSWOEXT","438108"
"2018-12-19","PDGSIDBEXT","194718"
"2018-12-19","PDGSWOEXT","335073"
"2018-12-26","PDGSIDBEXT","179713"
"2018-12-26","PDGSWOEXT","308716"
"2019-01-02","PDGSIDBEXT","195382"
"2019-01-02","PDGSWOEXT","381802"
"2019-01-09","PDGSIDBEXT","257489"
"2019-01-09","PDGSWOEXT","406915"
"2019-01-16","PDGSIDBEXT","194567"
