"As Of Date","Time Series","Value (millions)"
"2018-10-24","PDFTD-USTET","66723"
"2018-10-24","PDFTR-USTET","67185"
"2018-10-31","PDFTD-USTET","61409"
"2018-10-31","PDFTR-USTET","72934"
"2018-11-07","PDFTD-USTET","70373"
"2018-11-07","PDFTR-USTET","78046"
"2018-11-14","PDFTD-USTET","60704"
"2018-11-14","PDFTR-USTET","59590"
"2018-11-21","PDFTD-USTET","74305"
"2018-11-21","PDFTR-USTET","78661"
"2018-11-28","PDFTD-USTET","72499"
"2018-11-28","PDFTR-USTET","72740"
"2018-12-05","PDFTD-USTET","66392"
"2018-12-05","PDFTR-USTET","77030"
"2018-12-12","PDFTD-USTET","78701"
"2018-12-12","PDFTR-USTET","86329"
"2018-12-19","PDFTD-USTET","84691"
"2018-12-19","PDFTR-USTET","91492"
"2018-12-26","PDFTD-USTET","64291"
"2018-12-26","PDFTR-USTET","80674"
"2019-01-02","PDFTR-USTET","74316"
"2019-01-02","PDFTD-USTET","76906"
"2019-01-09","PDFTR-USTET","77471"
"2019-01-09","PDFTD-USTET","79026"
"2019-01-16","PDFTR-USTET","74097"
"2019-01-16","PDFTD-USTET","70982"
"2019-01-23","PDFTR-USTET","75081"
"2019-01-23","PDFTD-USTET","69113"
"2019-01-30","PDFTR-USTET","54277"
"2019-01-30","PDFTD-USTET","52656"
"2019-02-06","PDFTR-USTET","76313"
"2019-02-06","PDFTD-USTET","71254"
"2019-02-13","PDFTR-USTET","68369"
"2019-02-13","PDFTD-USTET","64285"
"2019-02-20","PDFTR-USTET","75508"
"2019-02-20","PDFTD-USTET","70325"
"2019-02-27","PDFTR-USTET","92484"
"2019-02-27","PDFTD-USTET","85474"
"2019-03-06","PDFTR-USTET","137777"
"2019-03-06","PDFTD-USTET","135063"
"2019-03-13","PDFTR-USTET","147326"
"2019-03-13","PDFTD-USTET","141894"
"2019-03-20","PDFTR-USTET","87931"
"2019-03-20","PDFTD-USTET","78178"
"2019-03-27","PDFTR-USTET","78713"
"2019-03-27","PDFTD-USTET","75505"
"2019-04-03","PDFTR-USTET","89730"
"2019-04-03","PDFTD-USTET","86877"
"2019-04-10","PDFTR-USTET","80113"
"2019-04-10","PDFTD-USTET","76043"
"2019-04-17","PDFTR-USTET","81089"
"2019-04-17","PDFTD-USTET","76688"
"2019-04-24","PDFTR-USTET","68070"
"2019-04-24","PDFTD-USTET","66304"
"2019-05-01","PDFTR-USTET","83887"
"2019-05-01","PDFTD-USTET","79644"
"2019-05-08","PDFTR-USTET","69704"
"2019-05-08","PDFTD-USTET","68391"
"2019-05-15","PDFTR-USTET","78884"
